Characteristic,Sub-Characteristic,1989 - Income - Median ($),1989 - Mean ($),1989 - Percentage of families that saved (%),1989 - Percentage of families (%),1992 - Income - Median ($),1992 - Mean ($),1992 - Percentage of families that saved (%),1992 - Percentage of families (%),1995 - Income - Median ($),1995 - Mean ($),1995 - Percentage of families that saved (%),1995 - Percentage of families (%),1998 - Income - Median ($),1998 - Mean ($),1998 - Percentage of families that saved (%),1998 - Percentage of families (%),2001 - Income - Median ($),2001 - Mean ($),2001 - Percentage of families that saved (%),2001 - Percentage of families (%),2004 - Income - Median ($),2004 - Mean ($),2004 - Percentage of families that saved (%),2004 - Percentage of families (%),2007 - Income - Median ($),2007 - Mean ($),2007 - Percentage of families that saved (%),2007 - Percentage of families (%),2010 - Income - Median ($),2010 - Mean ($),2010 - Percentage of families that saved (%),2010 - Percentage of families (%),2013 - Income - Median ($),2013 - Mean ($),2013 - Percentage of families that saved (%),2013 - Percentage of families (%),2016 - Income - Median ($),2016 - Mean ($),2016 - Percentage of families that saved (%),2016 - Percentage of families (%)
Education of head,Some college,30268.0,40974.0,n.a.,0.20370000000000002,29721.0,37954.0,0.610912,0.22131,32771.0,41624.0,0.56058,0.24818,35474.0,50136.0,0.573137,0.24928,41139.0,56863.0,0.621081,0.23881,44162.0,57505.0,0.52762,0.24420999999999998,47305.0,67961.0,0.555676,0.24439,45728.0,60437.0,0.515918,0.25064,43625.0,65188.99999999999,0.49518300000000004,0.25708,47594.0,67334.0,0.5424289999999999,0.2733
Education of head,College degree,46967.0,78880.0,n.a.,0.23235,47144.0,69307.0,0.681357,0.2751,48132.0,77632.0,0.694811,0.24922999999999998,59799.0,94174.0,0.671371,0.26742,73021.0,131560.0,0.7131770000000001,0.28388,79080.0,128234.00000000001,0.703711,0.30551,85354.0,159401.0,0.70072,0.29175999999999996,80278.0,141856.0,0.628969,0.30777,87249.0,158388.0,0.6735599999999999,0.31980000000000003,92150.0,188277.0,0.6598120000000001,0.34029000000000004
Race or ethnicity of respondent,White non-Hispanic,30268.0,47097.0,n.a.,0.7481300000000001,30746.0,44244.0,0.6104229999999999,0.7528900000000001,32771.0,49129.0,0.590859,0.77589,38515.0,59017.0,0.599632,0.7685200000000001,45253.0,78467.0,0.631166,0.7538800000000001,49297.0,80561.0,0.6011310000000001,0.72214,51994.0,96810.0,0.587751,0.7068300000000001,52841.0,89883.0,0.558213,0.67435,55799.0,103683.0,0.57307,0.67188,60758.0,122688.0,0.593887,0.64728
Race or ethnicity of respondent,Black or African-American non-hispanic,11481.0,19810.0,n.a.,0.12735,17423.0,23972.0,0.42424599999999996,0.12667,17410.0,22891.0,0.379901,0.12795,19257.0,28582.0,0.375238,0.11592000000000001,24683.0,37315.0,0.460463,0.12592,27729.0,38997.0,0.42877200000000004,0.13057,30851.0,45341.0,0.454999,0.11728999999999999,30485.0,42401.0,0.392928,0.13001,31450.0,42940.0,0.42078400000000005,0.13330999999999998,35442.0,54036.0,0.47464599999999996,0.146
Race or ethnicity of respondent,Hispanic or Latino,14612.0,22347.0,n.a.,0.07912,17423.0,23039.0,0.387746,0.07492,21506.0,31380.0,0.440465,0.056749999999999995,23311.0,31572.0,0.448543,0.07178,24683.0,38597.0,0.434461,0.07817,27729.0,39497.0,0.429543,0.08956,35993.0,47972.0,0.509583,0.08607,34550.0,50584.0,0.41897799999999996,0.09670999999999999,32465.000000000004,44053.0,0.413261,0.09577999999999999,38480.0,57285.0,0.422916,0.10188000000000001
Race or ethnicity of respondent,Other or Multiple Race,22962.0,33354.0,n.a.,0.0454,27671.0,43230.0,0.619654,0.04552,34819.0,46678.0,0.505436,0.03941,33447.0,48178.0,0.507388,0.043769999999999996,34968.0,54449.0,0.585653,0.042030000000000005,45189.0,66883.0,0.560914,0.05772,51418.0,69854.0,0.576856,0.08981,42680.0,73692.0,0.5216299999999999,0.09892,40581.0,70579.0,0.49934199999999995,0.09903,50632.0,86920.0,0.543998,0.10483
Current work status of head,Working for someone else,32354.999999999996,41123.0,n.a.,0.57001,34845.0,43834.0,0.631995,0.54783,36867.0,48447.0,0.603734,0.58265,40542.0,53485.0,0.598054,0.59186,47310.0,69153.0,0.616115,0.6087899999999999,49297.0,70007.0,0.5921690000000001,0.6004999999999999,56560.0,83049.0,0.603128,0.59931,55890.0,83967.0,0.551936,0.56938,56814.0,86723.0,0.585126,0.5692900000000001,62783.0,104760.0,0.593994,0.56236
Current work status of head,Self-employed,37574.0,95085.0,n.a.,0.11131,45094.0,76130.0,0.59311,0.10951000000000001,37891.0,80197.0,0.634366,0.10286,52704.0,108699.0,0.610499,0.11263,62737.0,139101.0,0.704529,0.11704,66756.0,141388.0,0.687286,0.11845,76099.0,191280.0,0.627569,0.10456,64019.00000000001,149307.0,0.550531,0.11385999999999999,71017.0,210777.0,0.6125160000000001,0.09672,70885.0,208929.0,0.621923,0.10648999999999999
Current work status of head,Retired,14612.0,24118.0,n.a.,0.25225000000000003,15373.0,22930.0,0.48117400000000005,0.26144,16385.0,28081.0,0.460071,0.25056,19257.0,32616.999999999996,0.486143,0.2441,20569.0,39827.0,0.504359,0.22957999999999998,24648.0,43170.0,0.43951999999999997,0.23742000000000002,24681.0,50982.0,0.46604300000000004,0.24989999999999998,28920.0,44297.0,0.47290999999999994,0.24899000000000002,29726.0,52084.0,0.44196599999999997,0.27036,36455.0,68256.0,0.481981,0.27966
Current work status of head,Other not working,7306.0,14024.0,n.a.,0.06644,11274.0,20881.0,0.413705,0.08122,11265.0,18065.0,0.307744,0.06393,11149.0,23031.0,0.337351,0.051399999999999994,16456.0,36679.0,0.42719,0.04459,20540.0,37368.0,0.448718,0.04362,20567.0,35395.0,0.45275,0.04623,24388.0,36431.0,0.368082,0.06777999999999999,25363.0,43350.0,0.287993,0.06364,20253.0,38882.0,0.36454300000000006,0.05149
